Az aruvimi erdő titka és egyéb szatirák	Ferenc Molnár	75135	Hungarian
El conde de Candespina, 2 de 2	Patricio de la Escosura	75134	Spanish
El conde de Candespina, 1 de 2	Patricio de la Escosura	75133	Spanish
From the West to the West	Abigail Scott Duniway	75131
Tex	Stephen McKenna	75130
Lotte civili	Edmondo De Amicis	75129	Italian
Königin Heimat	Rudolf Greinz	75128	German
Suomalaiset Viron vapaussodassa	Vilho Helanen	75127	Finnish
Sab	Gertrudis Gómez de Avellaneda y Arteaga	75126	Spanish
Eleanor's victory	Mary Elizabeth Braddon	75125
Az első fecske és egyéb elbeszélések	Ferenc Herczeg	75124	Hungarian
Clara d'Ellébeuse	Francis Jammes	75123	Finnish
Garibaldi, Vol. 1 of 2	Giuseppe Guerzoni	75122	Italian
Who were the Pilgrims?	William T. Davis	75121
Maehoe	Murray Leinster	75120
Report on the geology of the Henry Mountains	Grove Karl Gilbert	75119
Christmas under three flags	Mary Emily Donelson Wilcox	75118
Writing and rewriting	George Carver, William S. Maulsby and	75117
Muratti	Grazia Deledda	75116	Finnish
Merirosvojen aarre	Georg Gartner	75115	Finnish
The new air world	Willis Luther Moore	75114
The noise of the world	Adriana Spadoni	75113
The air splasher	Richard Howells Watkins	75112
Memoirs of Dr. Joseph Priestley,	75111
A history of land mammals in the Western Hemisphere,	75110
Tulisieluja	Annie Harrar	75109	Finnish
Musta naamio	R. Waldheim	75108	Finnish
Sketch of the Analytical Engine invented	Charles Babbage, Esq.,	75107
La Ville au Bois dormant,	75106	French
The garden of desire	Edna Worthley Underwood	75105
Amerikkalaisia kaskuja	Mark Twain	75104	Finnish
Sioux-intiaanien kynsissä	Emil von Nord	75103	Finnish
Nigel Browning	Agnes Giberne	75102
Binney the beaver	Lucy Ellen Guernsey	75101
La petite faunesse	Charles Derennes	75100	French
The red-hot dollar and other stories from the Black Cat,	75099
Hooking a sky ride	Dan Morrissey	75098
Flying down a rainbow	Homer King Gordon	75097
Boots	Murray Leinster	75096
The radio cop	Vic Whitman	75095
The trap	Murray Leinster	75094
The cradle of the deep	Joan Lowell	75093
Fix bayonets!	John W. Thomason	75092
Tapojen historiaa	Edvard Westermarck	75091	Finnish
Heräävä heimo	Vilho Helanen	75090	Finnish
Gleanings from Chinese folklore	Nellie N. Russell	75089
Eros és az evangéliumok	Waldemar Bonsels	75088	Hungarian
Az uj nemzedék	Knut Hamsun	75087	Hungarian
Im Banne der freien Reichsstadt	Brigitte Augusti	75086	German
Lord Lister No. 0030: De Directeur der Koloniale Vereeniging,	75085	Dutch
Elias Portolu	Grazia Deledda	75084	Finnish
Begierde	Jolanthe Marés	75083	German
Egy pesti leány története	Ferenc Molnár	75082	Hungarian
War sites of the 1914-1918 campaign	Belgian MOD	75081
»Kulku-ukon» kertomuksia kansan elämästä	Juho Reijonen	75080	Finnish
A Gyurkovics-lányok	Ferenc Herczeg	75079	Hungarian
Lettres à Françoise	Marcel Prévost	75078	French
The structure of the English sentence	Lillian Kimball	75077
An interrupted night	Isabella M. Alden	75076
Salvage—extra special	Holman Day	75075
Elementary cryptanalysis	Helen Gaines	75074
Äiti	Grazia Deledda	75073	Finnish
Note concernant les Aoulad-Daoud du Mont Aurès (Aourâs),	75072	French
Bad and mad	W. C. Tuttle	75071
Larry Dexter and the bank mystery	Raymond Sperry	75070
From Tenderfoot to Golden Eaglet	Amy E. Blanchard	75069
Three girl chums at Laurel Hall	May Hollis Barton	75068
The boys of columbia high on the river	Graham B. Forbes	75067
Lars Porsena; or, the future of swearing and improper language,	75066
Kalle Sarkkisen lapsuuden muistelmia	C. O. Berg	75065	Finnish
The war record of the fifth company, New England regiment, second	75064
The catspaw of Piperock	W. C. Tuttle	75062
L'initiation au péché et à l'amour	Édouard Dujardin	75061	French
The American in Paris, Vol. 2 of 2	John Sanderson	75060
The American in Paris, Vol. 1 of 2	John Sanderson	75059
Viimeinen tsaaritar	Gertrud v. Brockdorff	75058	Finnish
Dreamikins	Amy Le Feuvre	75057
